iter	Passed	Remaining
621	1112	676
622	1114	674
623	1116	672
624	1117	670
625	1119	668
626	1120	666
627	1122	664
628	1123	662
629	1125	660
630	1126	658
631	1127	656
632	1129	654
633	1130	652
634	1132	651
635	1134	649
636	1135	647
637	1137	645
638	1139	643
639	1140	641
640	1142	639
641	1143	637
642	1145	635
643	1146	633
644	1148	632
645	1150	630
646	1151	628
647	1153	626
648	1154	624
649	1156	622
650	1157	620
651	1159	618
652	1160	616
653	1162	615
654	1164	613
655	1165	611
656	1167	609
657	1168	607
658	1170	605
659	1171	603
660	1173	601
661	1174	599
662	1176	597
663	1177	596
664	1179	594
665	1181	592
666	1182	590
667	1184	588
668	1185	586
669	1187	584
670	1188	582
671	1190	580
672	1191	579
673	1193	577
674	1195	575
675	1196	573
676	1198	571
677	1199	569
678	1201	567
679	1202	565
680	1204	564
681	1205	562
682	1207	560
683	1209	558
684	1210	556
685	1212	554
686	1213	553
687	1215	551
688	1216	549
689	1218	547
690	1219	545
691	1221	543
692	1223	541
693	1224	540
694	1226	538
695	1227	536
696	1229	534
697	1230	532
698	1232	530
699	1233	528
700	1235	526
701	1237	525
702	1238	523
703	1240	521
704	1241	519
705	1243	517
706	1244	515
707	1246	513
708	1247	512
709	1249	510
710	1250	508
711	1252	506
712	1253	504
713	1255	502
714	1256	500
715	1258	499
716	1259	497
717	1261	495
718	1262	493
719	1264	491
720	1266	489
721	1267	488
722	1269	486
723	1270	484
724	1272	482
725	1273	480
726	1275	478
727	1276	476
728	1278	475
729	1279	473
730	1281	471
731	1282	469
732	1284	467
733	1286	466
734	1287	464
735	1289	462
736	1290	460
737	1292	458
738	1293	456
739	1295	455
740	1297	453
741	1299	451
742	1300	449
743	1302	448
744	1303	446
745	1305	444
746	1306	442
747	1308	440
748	1309	438
749	1311	437
750	1312	435
751	1314	433
752	1316	431
753	1317	429
754	1319	428
755	1320	426
756	1322	424
757	1323	422
758	1325	420
759	1327	419
760	1328	417
761	1330	415
762	1331	413
763	1333	411
764	1334	410
765	1336	408
766	1337	406
767	1339	404
768	1341	402
769	1342	401
770	1344	399
771	1346	397
772	1347	395
773	1349	393
774	1350	392
775	1352	390
776	1353	388
777	1355	386
778	1357	385
779	1358	383
780	1360	381
781	1361	379
782	1363	377
783	1364	376
784	1366	374
785	1368	372
786	1369	370
787	1371	368
788	1372	367
789	1374	365
790	1375	363
791	1377	361
792	1379	360
793	1380	358
794	1382	356
795	1383	354
796	1385	352
797	1387	351
798	1388	349
799	1390	347
800	1391	345
801	1393	344
802	1395	342
803	1396	340
804	1398	338
805	1399	336
806	1401	335
807	1403	333
808	1404	331
809	1406	329
810	1408	328
811	1409	326
812	1411	324
813	1413	322
814	1414	321
815	1416	319
816	1418	317
817	1419	315
818	1421	314
819	1422	312
820	1424	310
821	1425	308
822	1427	306
823	1428	305
824	1430	303
825	1432	301
826	1433	299
827	1435	298
828	1436	296
829	1438	294
830	1439	292
831	1441	291
832	1443	289
833	1444	287
834	1446	285
835	1447	284
836	1449	282
837	1450	280
838	1452	278
839	1453	276
840	1455	275
841	1457	273
842	1458	271
843	1460	269
844	1461	268
845	1463	266
846	1464	264
847	1466	262
848	1467	261
849	1469	259
850	1470	257
851	1472	255
852	1473	253
853	1475	252
854	1476	250
855	1478	248
856	1479	246
857	1481	245
858	1483	243
859	1484	241
860	1486	239
861	1487	238
862	1489	236
863	1490	234
864	1492	232
865	1493	231
